1 1 5
1 2 3
1 3 4
1 4 5
1 5 5
1 6 3
1 7 5
1 8 3
1 9 3
1 10 5
1 12 5
1 18 4
1 20 5
1 21 5
2 1 4
2 2 4
2 3 3
2 4 5
2 5 3
2 6 1
2 7 5
2 8 3
2 9 5
2 11 3
2 12 1
2 15 5
3 1 4
3 2 5
3 3 4
3 4 4
3 5 4
3 6 2
3 10 4
3 20 2
4 1 5
4 2 5
4 4 5
4 5 5
4 7 5
4 10 5
5 1 4
5 2 5
5 3 5
5 4 5
5 5 5
5 6 5
5 7 5
5 8 5
5 9 5
6 1 3
6 2 5
6 3 3
6 5 3
6 6 3
6 7 3
6 13 5
6 18 4
6 30 4
7 1 3
7 2 3
7 3 3
7 4 3
7 5 5
7 8 5
7 11 4
7 28 4
8 1 3
8 2 2
8 4 2
8 14 4
9 1 4
9 2 5
9 4 5
9 5 5
10 1 5
10 3 4
10 5 4
11 1 4
12 1 5
12 7 4
13 2 5
13 40 5
14 3 3
14 39 3
15 1 4
15 38 4
16 4 5
16 37 5
17 3 4
17 36 4
18 5 3
18 35 3
19 2 1
19 34 1
20 4 2
20 33 2
21 2 5
22 3 3
23 1 4
23 4 4
24 1 5
24 4 5
25 3 4
25 4 4
26 5 3
26 10 3
27 2 1
27 5 1
28 1 2
28 4 2
29 2 5
29 10 5
30 3 3
30 13 3
31 1 4
31 11 4
32 2 4
32 3 4
32 4 5
32 14 5
34 1 3
34 5 3
35 2 1
35 8 1
36 4 2
36 9 2
